,0
29544,2
29580,1
29584,1
29646,1
29727,1
29744,2
29758,1
29761,1
29774,2
29830,1
29889,1
29912,1
29914,1
29927,2
29962,1
29976,1
30027,2
30055,1
30081,1
30120,2
30144,1
30162,1
30205,1
30252,1
30292,1
30322,1
30347,1
30523,1
30536,1
30538,1
30546,1
30594,1
30629,1
30644,1
30681,1
30697,1
30698,1
30699,1
30700,1
30701,1
30702,1
30705,1
30707,1
30737,1
30851,1
30866,2
30988,1
31008,1
31065,1
31123,1
31135,1
31140,1
31171,1
31177,1
31201,1
31202,1
31203,2
31220,1
31224,1
31247,1
31255,1
31261,1
31271,1
31272,1
31537,1
31571,1
31586,2
31605,1
31679,1
31697,2
31707,1
31717,2
31723,1
31804,1
31817,1
31840,1
31872,1
31898,2
31940,1
31960,1
31966,1
31988,2
32017,1
32052,2
32098,1
32113,1
32149,1
32164,2
32191,2
32280,2
32293,1
32298,1
32324,1
32367,1
32408,1
32424,1
32442,1
32583,1
32680,1
32806,1
32816,1
32832,1
32841,1
32861,1
32877,1
32900,1
32952,1
32955,1
32960,1
33021,1
33044,1
33074,1
33122,1
33138,2
33147,1
33154,1
33161,1
33180,1
33181,1
33239,1
33270,1
33280,1
33295,1
33311,1
33330,1
33341,1
33357,1
33380,1
33457,1
33476,1
33487,1
33507,1
33540,1
33573,1
33626,1
33629,1
33696,1
33735,2
33759,1
33822,1
33862,1
33872,1
33929,1
33957,1
34094,1
34121,1
34125,1
34137,1
34163,2
34185,1
34235,1
34284,1
34377,1
34430,1
34447,1
34475,1
34486,1
34511,1
34523,1
34538,1
34607,1
34618,1
34622,1
34662,1
34736,1
34742,1
34769,1
34805,1
34848,1
34861,1
34888,1
34952,1
34993,1
35006,1
35007,1
35010,1
35055,1
35083,1
35223,1
35232,1
35251,1
35273,1
35275,1
35379,1
35380,1
35382,1
35385,1
35434,1
35450,1
35453,1
35456,1
35514,1
35554,1
35566,1
35602,1
35634,1
35640,1
35743,2
35769,1
35880,2
35917,1
35951,1
35993,2
35996,1
36040,1
36141,1
36159,1
36266,1
36271,1
36277,1
36359,1
36401,1
36402,1
36420,1
36499,1
36501,1
36625,1
36642,1
36698,1
36703,1
36719,1
36789,1
36887,1
36966,1
37060,1
37104,1
37105,1
37114,1
37259,1
37268,1
37381,1
37406,1
37484,1
37492,1
37590,1
37603,1
37678,1
37686,1
37724,1
37763,1
37765,1
37775,1
37788,1
37802,1
37839,1
37880,1
37900,1
37905,1
37926,1
37929,2
37930,1
37979,2
38000,1
38012,1
38049,1
38109,1
38122,1
38143,1
38226,1
38312,1
38339,2
38346,1
38417,1
38426,1
38502,1
38515,1
38547,1
38577,2
38610,1
38625,1
38655,1
38690,1
38715,1
38763,1
38835,1
38912,1
38953,1
39117,1
39130,1
39170,1
39192,1
39203,1
39225,1
39254,1
39260,1
39335,1
39374,1
39400,1
39409,1
39549,1
39614,1
39645,1
39695,1
39744,1
39752,1
39779,1
39829,1
39962,1
40008,1
40116,1
40198,1
40199,1
40215,1
40219,1
40307,1
40330,1
40345,1
40406,1
40417,1
40448,1
40460,1
40480,1
40539,1
40556,1
40613,1
40662,2
40882,2
40889,1
40923,1
40924,1
41032,1
41121,1
41328,1
41355,1
41367,1
41385,1
41391,1
41482,1
41544,1
41571,1
41578,1
41579,1
41599,1
41606,1
41619,1
41745,1
41774,1
41779,1
41788,1
41816,1
41848,1
41869,1
41922,1
41954,1
42005,1
42039,1
42090,1
42125,1
42164,1
42205,1
42275,1
42301,1
42438,1
42487,1
42540,1
42573,1
42661,1
42699,1
42726,1
42736,1
42738,1
42792,1
42799,1
42863,1
42936,1
42961,1
42977,1
42983,1
43001,1
43005,1
43014,1
43018,1
43025,1
43032,1
43047,1
43125,1
43135,1
43148,1
43178,1
43262,1
43325,1
43422,1
43526,1
43574,1
43622,1
43726,1
43763,1
43796,1
43964,1
43995,1
44067,1
44151,1
44261,1
44278,1
44289,1
44322,1
44324,1
44327,1
44406,1
44423,1
44426,1
44446,1
44497,1
44538,1
44544,1
44557,1
44558,1
44573,2
44589,1
44591,1
44594,1
44628,2
44657,1
44660,1
44667,2
44668,1
44677,1
44686,1
44730,1
44770,1
44775,1
44794,1
44810,1
44815,1
44840,1
44849,1
44859,1
44929,1
44980,1
45007,1
45226,1
45234,1
45345,2
45507,1
45514,1
45519,1
45569,1
45580,1
45590,1
45619,1
45627,1
45650,1
45685,1
45696,1
45710,1
45740,1
45754,1
45770,1
45776,1
45780,1
45800,1
45803,1
45834,1
45838,1
45855,1
45862,1
45929,1
46021,1
46051,1
46053,1
46057,1
46086,1
46103,1
46104,1
46144,1
46178,1
46225,2
46260,2
46555,1
46604,1
46773,1
46774,1
46893,1
47075,1
47184,1
47447,1
47528,1
48076,1
48698,1
48752,1
49529,1
49566,1
49697,1
49871,1
49901,1
49961,1
49998,1
50091,1
50157,1
50199,1
50332,1
50484,1
50761,1
50803,1
51272,1
51434,2
51603,1
51671,1
51694,1
51695,1
51764,2
51776,1
52033,1
52191,2
52261,2
52418,1
52423,1
52434,1
52435,1
52487,1
52639,1
52686,1
52738,1
52786,1
52820,1
52845,2
52941,1
52959,1
52988,2
52996,1
53131,2
53432,2
53445,1
53516,1
53529,1
53588,1
53654,1
53671,1
53718,1
53872,1
53968,1
53970,2
54011,1
54308,1
54331,1
54614,2
54633,2
54694,1
54811,2
54868,1
54949,2
55048,1
55069,1
55173,1
55237,1
55273,1
55278,1
55349,1
55413,1
55444,1
55477,1
55615,1
55722,1
55737,1
55749,1
55753,1
55767,1
55784,1
55792,1
55793,1
55847,1
55929,1
55949,1
55963,1
56008,1
56057,1
56159,1
56252,2
56461,1
56486,2
56582,1
56610,1
56615,1
56648,1
56669,1
56711,1
56748,1
56814,1
56841,1
56851,1
56913,1
56941,1
56961,1
57010,1
57017,1
57034,1
57138,1
57148,1
57174,1
57192,1
57247,1
57337,2
57417,2
57418,2
57441,1
57478,1
57479,1
57537,1
57600,1
57601,1
57616,2
57641,1
57655,2
57739,1
57780,1
57799,1
57808,1
57832,2
57848,1
57946,1
57994,1
58010,1
58083,1
58089,1
58106,1
58139,1
58264,1
58281,1
58337,1
58541,1
58562,1
58590,1
58657,1
58701,1
58760,1
58829,1
58910,1
58912,1
58925,1
58949,1
58991,1
59095,1
59098,1
59211,1
59221,1
59227,1
59231,1
59266,1
59287,1
59350,1
59381,1
59452,1
59473,1
59534,1
59597,1
59616,1
59639,1
59662,1
59664,1
59704,1
59716,1
59720,1
59752,1
59766,1
59778,1
59819,1
59893,1
59932,2
59950,1
59987,1
60057,1
60089,1
60097,1
60112,1
60121,1
60134,1
60144,1
60160,1
60161,1
60171,1
60199,1
60215,1
60227,1
60240,1
60260,1
60287,1
60289,1
60310,1
60340,1
60418,1
60423,1
60444,1
60450,1
60461,1
60481,1
60536,1
60553,1
60567,1
60581,1
60585,1
60592,1
60628,1
60662,1
60717,1
60742,1
60744,1
60747,1
60770,1
60788,1
60807,1
60821,1
60845,1
60866,1
60874,1
60881,1
60897,1
60909,1
60911,1
60928,1
61011,1
61013,1
61025,1
61047,1
61049,1
61079,1
61080,1
61101,1
61117,1
61127,1
61144,1
61146,1
61150,1
61181,1
61190,1
61197,1
61213,1
61229,1
61252,1
61299,1
61323,1
61331,1
61339,1
61363,1
61375,1
61381,1
61389,1
61390,1
61403,1
61409,1
61426,1
61432,1
61436,1
61440,1
61453,1
61472,1
61509,1
61510,1
61533,1
61554,1
61619,1
61686,1
61711,1
61735,1
61774,1
61853,1
61900,1
62017,1
62027,1
62069,1
62083,1
62086,1
62089,1
62103,1
62123,1
62127,1
62147,1
62182,1
62192,1
62205,1
62229,1
62243,1
62252,1
62278,1
62316,1
62349,1
62376,1
62382,1
62390,1
62393,1
62397,1
62455,1
62490,1
62493,1
